,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
800,14856,AVENIDA ARICANDUVA,10300,SAO PAULO,"AVENIDA ARICANDUVA, 10300, SAO PAULO","[-23.5900416802915, -46.48280088029149]"
801,14857,AVENIDA ALCANTARA MACHADO,0,SAO PAULO,"AVENIDA ALCANTARA MACHADO, 0, SAO PAULO","[-23.5455286802915, -46.5919857802915]"
802,14862,AVENIDA QUEIROZ FILHO,968,SAO PAULO,"AVENIDA QUEIROZ FILHO, 968, SAO PAULO","[-23.5405443302915, -46.72945403029151]"
803,14864,AVENIDA INOCENCIO SERAFICO,342,CARAPICUIBA,"AVENIDA INOCENCIO SERAFICO, 342, CARAPICUIBA","[-23.5256044802915, -46.8369274802915]"
804,14878,RUA JOAQUINA DE JESUS,488,GUARULHOS,"RUA JOAQUINA DE JESUS, 488, GUARULHOS","[-23.4342425802915, -46.4996909802915]"
805,14936,RUA NOVA BRASILIA,100,SAO PAULO,"RUA NOVA BRASILIA, 100, SAO PAULO","[-23.5963318802915, -46.50703508029151]"
806,14943,ESTRADA DOS ALVARENGAS,998,SAO BERNARDO DO CAMPO,"ESTRADA DOS ALVARENGAS, 998, SAO BERNARDO DO CAMPO","[-23.7332088802915, -46.58026298029149]"
807,15009,ACESSO ACESSO A   BANDEIRANTES,1000,SAO PAULO,"ACESSO ACESSO A   BANDEIRANTES, 1000, SAO PAULO","[-23.5052037802915, -46.72555188029149]"
808,15011,AVENIDA PIRES DO RIO,2140,SAO PAULO,"AVENIDA PIRES DO RIO, 2140, SAO PAULO","[-23.5171475802915, -46.4451159802915]"
809,15015,AVENIDA VEREADOR JOAO DE LUCA,302,SAO PAULO,"AVENIDA VEREADOR JOAO DE LUCA, 302, SAO PAULO","[-23.64769428029151, -46.67268578029151]"
810,15032,RUA AZEVEDO SOARES,973,SAO PAULO,"RUA AZEVEDO SOARES, 973, SAO PAULO","[-23.5502177802915, -46.5686790302915]"
811,15036,AVENIDA LAURO GOMES,100,SANTO ANDRE,"AVENIDA LAURO GOMES, 100, SANTO ANDRE","[-23.6851083802915, -46.54942278029149]"
812,15044,ESTRADA DOM JOAO NERY,3862,SAO PAULO,"ESTRADA DOM JOAO NERY, 3862, SAO PAULO","[-23.5271531802915, -46.39975528029149]"
813,15048,RUA DA CONSOLACAO,100,SAO PAULO,"RUA DA CONSOLACAO, 100, SAO PAULO","[-23.54919768029151, -46.6434240802915]"
814,15061,RUA SIMAO CAETANO NUNES,9,SAO PAULO,"RUA SIMAO CAETANO NUNES, 9, SAO PAULO","[-23.6920043802915, -46.78146398029149]"
815,15063,AVENIDA DEPUTADO CANTIDIO SAMPAIO,2039,SAO PAULO,"AVENIDA DEPUTADO CANTIDIO SAMPAIO, 2039, SAO PAULO","[-23.4637446802915, -46.6851610802915]"
816,15156,VELHA GUARULHOSSAO MIGUEL,0,GUARULHOS,"VELHA GUARULHOSSAO MIGUEL, 0, GUARULHOS","[-23.4611481802915, -46.4451836802915]"
817,15160,RUA DOUTOR AMILTON PRADO,843,FRANCO DA ROCHA,"RUA DOUTOR AMILTON PRADO, 843, FRANCO DA ROCHA","[-23.3213973302915, -46.7267308802915]"
818,15173,AVENIDA ITAMARATI,1070,SANTO ANDRE,"AVENIDA ITAMARATI, 1070, SANTO ANDRE","[-23.6478644802915, -46.5152495802915]"
819,15175,AVENIDA PRESIDENTE TANCREDO NEVES,2800,SAO PAULO,"AVENIDA PRESIDENTE TANCREDO NEVES, 2800, SAO PAULO","[-23.6233383802915, -46.6136358802915]"
820,15185,RUA DA GAVEA,1381,SAO PAULO,"RUA DA GAVEA, 1381, SAO PAULO","[-23.5180609802915, -46.5831724802915]"
821,15187,RUA BENEDITO VALADARES RIBEIRO,1992,GUARULHOS,"RUA BENEDITO VALADARES RIBEIRO, 1992, GUARULHOS","[-23.4519597802915, -46.4617700802915]"
822,15242,RUA MARTINS FONTES,0,SAO PAULO,"RUA MARTINS FONTES, 0, SAO PAULO","[-23.5508904802915, -46.6468190802915]"
823,15245,AVENIDA JOAO PAULO PRIMEIRO,1712,SAO PAULO,"AVENIDA JOAO PAULO PRIMEIRO, 1712, SAO PAULO","[-23.4792432802915, -46.68643593029149]"
824,15250,AVENIDA MARECHAL TITO,8254,SAO PAULO,"AVENIDA MARECHAL TITO, 8254, SAO PAULO","[-23.48596418029151, -46.3792315802915]"
825,15259,RUA BELA VISTA DO PARAISO,44,GUARULHOS,"RUA BELA VISTA DO PARAISO, 44, GUARULHOS","[-23.4309354802915, -46.43776938029149]"
826,15313,ACESSO AVENIDA INAJAR DE SOUZA,1418,SAO PAULO,"ACESSO AVENIDA INAJAR DE SOUZA, 1418, SAO PAULO","[-23.4944980802915, -46.68619418029149]"
827,15386,AVENIDA BRASIL,10,SAO PAULO,"AVENIDA BRASIL, 10, SAO PAULO","[-23.5801782802915, -46.6627963802915]"
828,15393,ESTRADA SANTA INES,2,MAIRIPORA,"ESTRADA SANTA INES, 2, MAIRIPORA","[-23.3958766802915, -46.6651406802915]"
829,15402,RUA CANA VERDE,0,GUARULHOS,"RUA CANA VERDE, 0, GUARULHOS","[-23.4171970802915, -46.47389778029149]"
830,15413,AVENIDA CHICA LUISA,1800,SAO PAULO,"AVENIDA CHICA LUISA, 1800, SAO PAULO","[-23.4500091802915, -46.7569175802915]"
831,15417,AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA,6607,DIADEMA,"AVENIDA ENGENHEIRO ARMANDO DE ARRUDA PEREIRA, 6607, DIADEMA","[-23.6713766802915, -46.6343889802915]"
832,15463,ACESSO AVENIDA MARGINAL DO RIO PINHEIROS,100,SAO PAULO,"ACESSO AVENIDA MARGINAL DO RIO PINHEIROS, 100, SAO PAULO","[-23.5721698802915, -46.70240818029151]"
833,15465,AVENIDA MARGINAL DO RIO PINHEIROS,15,SAO PAULO,"AVENIDA MARGINAL DO RIO PINHEIROS, 15, SAO PAULO","[-23.5462048802915, -46.7359239802915]"
834,15484,AVENIDA INAJAR DE SOUZA,4067,SAO PAULO,"AVENIDA INAJAR DE SOUZA, 4067, SAO PAULO","[-23.4764129802915, -46.67191348029149]"
835,15487,AVENIDA JOSE ESTIMA FILHO,2125,SAO PAULO,"AVENIDA JOSE ESTIMA FILHO, 2125, SAO PAULO","[-23.7360190802915, -46.79630348029149]"
836,15552,AVENIDA PEDRO ALVARES CABRAL,1001,SAO PAULO,"AVENIDA PEDRO ALVARES CABRAL, 1001, SAO PAULO","[-23.5913359802915, -46.65255328029149]"
837,15553,AVENIDA SALIM FARAH MALUF,4288,SAO PAULO,"AVENIDA SALIM FARAH MALUF, 4288, SAO PAULO","[-23.5681428802915, -46.5761384802915]"
838,15559,ESTRADA GUARULHOSNAZARE,842,GUARULHOS,"ESTRADA GUARULHOSNAZARE, 842, GUARULHOS","[-23.4424946802915, -46.47004638029149]"
839,15561,RUA VEREADOR JOAO BATISTA FITIPALDI,500,SUZANO,"RUA VEREADOR JOAO BATISTA FITIPALDI, 500, SUZANO","[-23.5253960802915, -46.30486448029149]"
840,15570,AVENIDA DOS BANDEIRANTES,4563,SAO PAULO,"AVENIDA DOS BANDEIRANTES, 4563, SAO PAULO","[-23.6201444302915, -46.6595486302915]"
841,15632,AVENIDA HUMBERTO ALENCAR CASTELO BRANCO,4281,SAO BERNARDO DO CAMPO,"AVENIDA HUMBERTO ALENCAR CASTELO BRANCO, 4281, SAO BERNARDO DO CAMPO","[-23.7253315802915, -46.5781694802915]"
842,15653,VIADUTO ANTONIO ADIBE CHAMAS,1,SANTO ANDRE,"VIADUTO ANTONIO ADIBE CHAMAS, 1, SANTO ANDRE","[-23.6551211802915, -46.5309536802915]"
843,15665,AVENIDA MORUMBI,8502,SAO PAULO,"AVENIDA MORUMBI, 8502, SAO PAULO","[-23.6231170802915, -46.69014438029151]"
844,15731,AVENIDA CONCEICAO,100,DIADEMA,"AVENIDA CONCEICAO, 100, DIADEMA","[-23.6853626802915, -46.62807608029149]"
845,15734,AVENIDA ENGENHEIRO CAETANO ALVARES,0,SAO PAULO,"AVENIDA ENGENHEIRO CAETANO ALVARES, 0, SAO PAULO","[-23.5142071802915, -46.6724869802915]"
846,15748,AVENIDA MARGINAL,1455,CARAPICUIBA,"AVENIDA MARGINAL, 1455, CARAPICUIBA","[-23.5323972802915, -46.8491972802915]"
847,15749,Rodovia Presidente Dutra,10,GUARULHOS,"Rodovia Presidente Dutra, 10, GUARULHOS","[-23.41993968029151, -46.3818211802915]"
848,15752,AVENIDA CONDE DE FRONTIN,1569,SAO PAULO,"AVENIDA CONDE DE FRONTIN, 1569, SAO PAULO","[-23.5350570802915, -46.5433490802915]"
