,Indice_ori,Logradouro,Numero/KM,Município,Endereço,Location
0,31,AVENIDA GENERAL BARRETO DE MENEZES,470,SAO BERNARDO DO CAMPO,"AVENIDA GENERAL BARRETO DE MENEZES, 470, SAO BERNARDO DO CAMPO","[-23.73791738029151, -46.5363510802915]"
1,38,PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE,0,OSASCO,"PRESIDENTE PRESIDENTE CASTELLO BRANCO KM 17 LESTE, 0, OSASCO","[-23.5758446, -49.4669396]"
2,45,PONTE DO LIMAO,100,SAO PAULO,"PONTE DO LIMAO, 100, SAO PAULO","[-23.51709368029151, -46.6681318802915]"
3,51,ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI,100,GUARULHOS,"ESTRADA PRESIDENTE JUSCELINO KUBITSCHECK DE OLIVEI, 100, GUARULHOS","[-23.4736300802915, -46.42469018029149]"
4,192,AVENIDA BRIGADEIRO LUIS ANTONIO,4778,SAO PAULO,"AVENIDA BRIGADEIRO LUIS ANTONIO, 4778, SAO PAULO","[-23.5836943802915, -46.66887098029149]"
5,194,AVENIDA DO IMPERADOR,5317,SAO PAULO,"AVENIDA DO IMPERADOR, 5317, SAO PAULO","[-23.5153310802915, -46.4534628802915]"
6,222,Rodovia Presidente Dutra,220,GUARULHOS,"Rodovia Presidente Dutra, 220, GUARULHOS","[-23.4772628802915, -46.5273437802915]"
7,272,RUA JAMIL JOAO ZARIFE,100,GUARULHOS,"RUA JAMIL JOAO ZARIFE, 100, GUARULHOS","[-23.4312851802915, -46.50284458029149]"
8,278,Avenida Condessa Elisabeth de Robiano,150,SAO PAULO,"Avenida Condessa Elisabeth de Robiano, 150, SAO PAULO","[-23.5300483802915, -46.5984811802915]"
9,283,Rodovia Anhieta,0,SAO PAULO,"Rodovia Anhieta, 0, SAO PAULO","[-23.7579168802915, -46.54349038029151]"
10,413,AVENIDA BRIGADEIRO LUIS ANTONIO,4737,SAO PAULO,"AVENIDA BRIGADEIRO LUIS ANTONIO, 4737, SAO PAULO","[-23.5838617802915, -46.66824288029151]"
11,431,AVENIDA JOSE PINHEIRO BORGES,100,SAO PAULO,"AVENIDA JOSE PINHEIRO BORGES, 100, SAO PAULO","[-23.5405958802915, -46.47098468029149]"
12,470,AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO,2849,SANTO ANDRE,"AVENIDA CAPITAO MARIO TOLEDO DE CAMARGO, 2849, SANTO ANDRE","[-23.6884279802915, -46.50813698029151]"
13,474,AVENIDA SILVESTRE PIRES DE FREITAS,145,GUARULHOS,"AVENIDA SILVESTRE PIRES DE FREITAS, 145, GUARULHOS","[-23.4307694802915, -46.5040952802915]"
14,485,AVENIDA DOS OURIVES,220,SAO PAULO,"AVENIDA DOS OURIVES, 220, SAO PAULO","[-23.6553738802915, -46.6135075802915]"
15,489,AVENIDA CARLOS CALDEIRA FILHO,1,SAO PAULO,"AVENIDA CARLOS CALDEIRA FILHO, 1, SAO PAULO","[-23.6410534802915, -46.7463308802915]"
16,497,AVENIDA GUARAPIRANGA,3440,SAO PAULO,"AVENIDA GUARAPIRANGA, 3440, SAO PAULO","[-23.6865709802915, -46.7520067302915]"
17,599,VIADUTO MINISTRO ALIOMAR BALEEIRO,1,SAO PAULO,"VIADUTO MINISTRO ALIOMAR BALEEIRO, 1, SAO PAULO","[-23.6306304802915, -46.6324127802915]"
18,601,AVENIDA SENADOR TEOTONIO VILELA,2200,SAO PAULO,"AVENIDA SENADOR TEOTONIO VILELA, 2200, SAO PAULO","[-23.7219683802915, -46.69963038029151]"
19,610,ACESSO A  RAPOSO TAVARES,35,COTIA,"ACESSO A  RAPOSO TAVARES, 35, COTIA","[-22.77215548029151, -50.14388208029149]"
20,620,AVENIDA LAURO GOMES,100,SANTO ANDRE,"AVENIDA LAURO GOMES, 100, SANTO ANDRE","[-23.6851083802915, -46.54942278029149]"
21,700,AVENIDA CANGAIBA,959,SAO PAULO,"AVENIDA CANGAIBA, 959, SAO PAULO","[-23.5129307802915, -46.54593908029151]"
